PanjivaRecordID,combined_score,hdf_score,normal_id_list,score
173421598,10.453626027145553,1.0,200139902;200818238;200341759;200518591;199942335;201727935;201397435;201363517;200930938;199481082;199403642;199707002;201398518;201500726;201644342;200283320;201117624;201330424;201399800;200710520;200929145;199550201;200920956;199560252;199984636;200308977;200189105;199436593;200341745;198238769;201655601;201500721;200239475;200595891;201350067;201746867;201655603;201538995;199443187;198234803;199395381;200239477;199511925;199475445;201636663;201453303;200269998;200498990;200979246;200185262;200941998;199555502;201092206;200788400;201092208;200650608;200201840;200849583;200227186;199576754;200788402;200223794;200930343;199885799;199662567;200824743;201774375;200692519;200407655;201311845;201290469;200370420;201397864;200339304;199555496;201685864;201538792;200986280;199491432;201525672;200941992;200175080;200167396;200799844;201518628;201725987;201336163;201538988;200562860;199511980;200740514;199440802;201487458;199649826;199442274;199940570;200309210;199600922;199554450;200716754,10.453626027145553
199894749,10.430260627350476,1.0,199845977;199723940;199894749;200957697;166398316;166398749;166445447;166398274;257653182;257652897;257653087;257650591;290050723;265587819;264537669;264537809;264537431;277641392;277641221;169798141;168987197;168987049;171419671;169287352;169004875;189682313;189683212;188479325;280063411;280058990;282447642;280062874;203176552;203272310;203794541;204775641;204554813;251009980;250147218;251020043;250707529;251411359;251009162;250690136;210127227;209282274;210129226;208918239;195604842;196067524;197392930;195688222;197393624;228745277;227841642;229954141;227826181;184617536;185927121;221837464;219981964;220235087;221837786;221839336;174806331;174611816;175329701;174613106;173731600;174612165;206393529;207729057;207007434;207421380;237750397;236113209;237648635;237648692;236141347;237644953;218034007;218026444;216035922;218228566;218029396;193051643;193053680;192341281;193051559;192227047;273049829;273049481;274459426;273047812;273049228;245659444;245713520;244648017;243747616;245713345,10.430260627350476
263514791,10.420461364216699,1.0,198695342;168109548;263514791;171292095;187453528;187453519;211767504;211767511;197975358;191176534;161956718;165874285;175847360,10.420461364216699
244603831,10.368603907811355,1.0,257069301;265223044;203794539;248120645;209282272;196310288;228950373;228624881;229085362;229055055;185279916;220954102;220999741;220869454;174316660;173549610;174396296;173544531;207007433;237080572;237050610;236805208;217070376;244603831;244517537;244328126;244605223;244886761;244642056;261432143;287328057;212544922;233144309;232905759;159241326;159200556;178075845;178107331;224970691;294463913;240624766;241048678;240928408;240954636;240629632,10.368603907811355
223447485,10.336604243268694,1.0,291503608;266773196;276108205;276108198;282260149;231135827;223447485;219571600;273406127;273406128;254257755;268498733;268498705,10.336604243268694
219571600,10.336604243268694,1.0,291503608;266773196;276108205;276108198;282260149;231135827;223447485;219571600;273406127;273406128;254257755;268498733;268498705,10.336604243268694
268498733,10.327913979821023,1.0,291503608;266773196;276108205;276108198;282260149;231135827;223447485;219571600;273406127;273406128;254257755;268498733;268498705,10.327913979821023
188416764,10.284963241620373,1.0,200074110;200447998;201390718;200447999;201400383;200327611;200567291;201390717;201400381;200327613;200536445;201403194;199930682;201016506;201388026;201488182;200174582;200796982;201403190;201488184;201016504;201659641;200109241;200519353;201400377;199930684;201784049;201403187;200467763;200074099;201016501;200074101;201400375;200426094;201486958;201130992;201130991;201486951;200426087;201484455;200551847;200819111;201344484;198237731;201486956;200378658;201484450;201506714;200357970;200478182;200426086;201484454;200525337;201484446;200525333;201693333;200790485;200843115;200536427;200578337;200411735;201332872;201344489;199819583;200302217;201342537;198234633;200353989;201430478;200378638;200790476;200596556;200426124;201401099;201565515;201584134;200357974;200525334;200300758;200411734;200418198;200567259;200536283;200567260;201564285;201664066;200908162;200405250;201584132;200418180;200736004;201693328;200551824;201565511;201332871;200448007;201342535;201403193;201403188;200302218,10.284963241620373
183130685,10.22249336595906,1.0,199940409;200384819;200753711;199437925;199495589;199437928;200185242;200571673;200185249;199830605;198235818;200734021;201462668;198232506;199600918;199748315;201139970;200185604;199787344;200384912;200179066;199980362;200070066;200384922;199475738;199369838;200384833;199456145;200685405;201430956;201846921;200185247;200185244;201741710;200698705;200635811;199506476;200931737;201462679;198229857;199506488;200995214;199627214;201846758;200086419;200907010;200756738;200722711;199627159;201054927;200291293;198233693;199501277;200720030;199891038;200715882;201113165;166151871;166179135;166489580;168110570;167963437;166798494;167928802;166300503;167951361;167950863;166135557;168040403;166135558;166135559;166135560;166300504;166029592;166135562;167951363;166300502;167870217;167950865;167950861;167928771;167927060;255547263;256383103;255547261;254960701;254534717;255128633;256416697;255702841;256526641;257790198;256556464;257495714;256601698;257788126;256447903;256891754;255280730;257788698,10.22249336595906
290683483,10.17416763591699,1.0,257650583;290050080;290683483;265589502;264537476;278533749;282802754;273845510;261330344;261669669;269419996;268967689;182232173,10.17416763591699
287839469,10.131883323094977,1.0,199940409;200384819;200753711;199437925;199495589;199437928;200185242;200571673;200185249;199830605;198235818;200734021;201462668;198232506;199600918;199748315;201139970;200185604;199787344;200384912;200179066;199980362;200070066;200384922;199475738;199369838;200384833;199456145;200685405;201430956;201846921;200185247;200185244;201741710;200698705;200635811;199506476;200931737;201462679;198229857;199506488;200995214;199627214;201846758;200086419;200907010;200756738;200722711;199627159;201054927;200291293;198233693;199501277;200720030;199891038;200715882;201113165;166151871;166179135;166489580;168110570;167963437;166798494;167928802;166300503;167951361;167950863;166135557;168040403;166135558;166135559;166135560;166300504;166029592;166135562;167951363;166300502;167870217;167950865;167950861;167928771;167927060;255547263;256383103;255547261;254960701;254534717;255128633;256416697;255702841;256526641;257790198;256556464;257495714;256601698;257788126;256447903;256891754;255280730;257788698,10.131883323094977
202926851,10.116226457706404,1.0,200805318;165913851;167947414;254597049;257549197;262968063;266050925;264955014;266675197;265978781;277862668;279531769;171339431;171561841;188958862;281691908;282113306;281641428;204344208;203677001;202926851;250643232;247943428;248982775;250469704;248982759;210020344;196659428;195780531;228016933;229602163;228916436;184724382;221613807;221023701;219836718;173909675;173468144;206923196;207394541;206718996;237493082;235898128;216922771;217710607;193214765;192417939;274319615;274732659;272992754;273492431;244404337;244588215;245226017;245650238;244776095;259015976;260240264;259733914;284569258;212924843;212641316;213568243;212641315;252525456;233107452;232034620;233674595;232072960;232786381;162491493;270788621;269400844;269494448;269494465;270604968;267023797;162631927;165508421;165621401;181235178;181451312;181715276;182850710;182338841;177819200;178701707;177263767;225573813;223786407;225955054;223952195;225146352;225648897;295411587;240016818;241505131;240514000,10.116226457706404
159967208,10.039105776047613,1.0,199845977;199723940;199894749;200957697;166398316;166398749;166445447;166398274;257653182;257652897;257653087;257650591;290050723;265587819;264537669;264537809;264537431;277641392;277641221;169798141;168987197;168987049;171419671;169287352;169004875;189682313;189683212;188479325;280063411;280058990;282447642;280062874;203176552;203272310;203794541;204775641;204554813;251009980;250147218;251020043;250707529;251411359;251009162;250690136;210127227;209282274;210129226;208918239;195604842;196067524;197392930;195688222;197393624;228745277;227841642;229954141;227826181;184617536;185927121;221837464;219981964;220235087;221837786;221839336;174806331;174611816;175329701;174613106;173731600;174612165;206393529;207729057;207007434;207421380;237750397;236113209;237648635;237648692;236141347;237644953;218034007;218026444;216035922;218228566;218029396;193051643;193053680;192341281;193051559;192227047;273049829;273049481;274459426;273047812;273049228;245659444;245713520;244648017;243747616;245713345,10.039105776047613
178516451,10.039105776047613,1.0,199845977;199723940;199894749;200957697;166398316;166398749;166445447;166398274;257653182;257652897;257653087;257650591;290050723;265587819;264537669;264537809;264537431;277641392;277641221;169798141;168987197;168987049;171419671;169287352;169004875;189682313;189683212;188479325;280063411;280058990;282447642;280062874;203176552;203272310;203794541;204775641;204554813;251009980;250147218;251020043;250707529;251411359;251009162;250690136;210127227;209282274;210129226;208918239;195604842;196067524;197392930;195688222;197393624;228745277;227841642;229954141;227826181;184617536;185927121;221837464;219981964;220235087;221837786;221839336;174806331;174611816;175329701;174613106;173731600;174612165;206393529;207729057;207007434;207421380;237750397;236113209;237648635;237648692;236141347;237644953;218034007;218026444;216035922;218228566;218029396;193051643;193053680;192341281;193051559;192227047;273049829;273049481;274459426;273047812;273049228;245659444;245713520;244648017;243747616;245713345,10.039105776047613
169287352,10.039105776047613,1.0,199845977;199723940;199894749;200957697;166398316;166398749;166445447;166398274;257653182;257652897;257653087;257650591;290050723;265587819;264537669;264537809;264537431;277641392;277641221;169798141;168987197;168987049;171419671;169287352;169004875;189682313;189683212;188479325;280063411;280058990;282447642;280062874;203176552;203272310;203794541;204775641;204554813;251009980;250147218;251020043;250707529;251411359;251009162;250690136;210127227;209282274;210129226;208918239;195604842;196067524;197392930;195688222;197393624;228745277;227841642;229954141;227826181;184617536;185927121;221837464;219981964;220235087;221837786;221839336;174806331;174611816;175329701;174613106;173731600;174612165;206393529;207729057;207007434;207421380;237750397;236113209;237648635;237648692;236141347;237644953;218034007;218026444;216035922;218228566;218029396;193051643;193053680;192341281;193051559;192227047;273049829;273049481;274459426;273047812;273049228;245659444;245713520;244648017;243747616;245713345,10.039105776047613
174806331,10.039105776047613,1.0,199845977;199723940;199894749;200957697;166398316;166398749;166445447;166398274;257653182;257652897;257653087;257650591;290050723;265587819;264537669;264537809;264537431;277641392;277641221;169798141;168987197;168987049;171419671;169287352;169004875;189682313;189683212;188479325;280063411;280058990;282447642;280062874;203176552;203272310;203794541;204775641;204554813;251009980;250147218;251020043;250707529;251411359;251009162;250690136;210127227;209282274;210129226;208918239;195604842;196067524;197392930;195688222;197393624;228745277;227841642;229954141;227826181;184617536;185927121;221837464;219981964;220235087;221837786;221839336;174806331;174611816;175329701;174613106;173731600;174612165;206393529;207729057;207007434;207421380;237750397;236113209;237648635;237648692;236141347;237644953;218034007;218026444;216035922;218228566;218029396;193051643;193053680;192341281;193051559;192227047;273049829;273049481;274459426;273047812;273049228;245659444;245713520;244648017;243747616;245713345,10.039105776047613
166445447,10.039105776047613,1.0,199845977;199723940;199894749;200957697;166398316;166398749;166445447;166398274;257653182;257652897;257653087;257650591;290050723;265587819;264537669;264537809;264537431;277641392;277641221;169798141;168987197;168987049;171419671;169287352;169004875;189682313;189683212;188479325;280063411;280058990;282447642;280062874;203176552;203272310;203794541;204775641;204554813;251009980;250147218;251020043;250707529;251411359;251009162;250690136;210127227;209282274;210129226;208918239;195604842;196067524;197392930;195688222;197393624;228745277;227841642;229954141;227826181;184617536;185927121;221837464;219981964;220235087;221837786;221839336;174806331;174611816;175329701;174613106;173731600;174612165;206393529;207729057;207007434;207421380;237750397;236113209;237648635;237648692;236141347;237644953;218034007;218026444;216035922;218228566;218029396;193051643;193053680;192341281;193051559;192227047;273049829;273049481;274459426;273047812;273049228;245659444;245713520;244648017;243747616;245713345,10.039105776047613
273406127,10.03643155065751,1.0,291503608;266773196;276108205;276108198;282260149;231135827;223447485;219571600;273406127;273406128;254257755;268498733;268498705,10.03643155065751
282260149,10.014217866028707,1.0,291503608;266773196;276108205;276108198;282260149;231135827;223447485;219571600;273406127;273406128;254257755;268498733;268498705,10.014217866028707
197975048,9.97493880032384,1.0,168109346;255789738;276108204;282260124;202139221;251379461;251379447;197975049;197975048;231135805;186826334;223447341;208423772;239346502;219571567;191176212;273406118;247759592;262547266;287385227;215659354;235629821;161721715;268498700;164981526;183130254;175846764;175846772;227555866;293220024;293220021;243478650,9.97493880032384
287385299,9.963278061831538,1.0,201645054;200789310;199607998;200392126;200956222;200374462;199683711;199607999;200391999;200272895;201581887;201427391;199403647;201419579;199573435;201067451;199994427;201488571;200169083;199438075;199371707;200568315;199790331;199416189;201659837;200408509;199438077;200993725;200140794;199726714;201440122;201417914;200013882;200735674;199467450;199858618;199425466;201118070;200175222;200175606;201659832;200161272;200428408;201350072;199693816;201512440;199915320;199438072;200439289;200625145;200310137;200271289;199656185;201312764;200308988;200094460;200562940;199436604;201015420;200145596;199421628;201416881;201388657;201390641;200516593;199416177;201655217;199600945;200855025;200818673;201686257;200102321;199830001;199442289;199699059;200408691;201594163;201369077;199438069;200711285;199509749;201686261;201565173;199442997;200623093;200102325;201440119;200562935;201292791;200955703;199879991;199482615;201655214;199728494;199447726;201081646;200444526;200094128;200102320;200457200,9.963278061831538
191176501,9.949850970453252,1.0,201645054;200789310;199607998;200392126;200956222;200374462;199683711;199607999;200391999;200272895;201581887;201427391;199403647;201419579;199573435;201067451;199994427;201488571;200169083;199438075;199371707;200568315;199790331;199416189;201659837;200408509;199438077;200993725;200140794;199726714;201440122;201417914;200013882;200735674;199467450;199858618;199425466;201118070;200175222;200175606;201659832;200161272;200428408;201350072;199693816;201512440;199915320;199438072;200439289;200625145;200310137;200271289;199656185;201312764;200308988;200094460;200562940;199436604;201015420;200145596;199421628;201416881;201388657;201390641;200516593;199416177;201655217;199600945;200855025;200818673;201686257;200102321;199830001;199442289;199699059;200408691;201594163;201369077;199438069;200711285;199509749;201686261;201565173;199442997;200623093;200102325;201440119;200562935;201292791;200955703;199879991;199482615;201655214;199728494;199447726;201081646;200444526;200094128;200102320;200457200,9.949850970453252
198695318,9.949850970453252,1.0,201645054;200789310;199607998;200392126;200956222;200374462;199683711;199607999;200391999;200272895;201581887;201427391;199403647;201419579;199573435;201067451;199994427;201488571;200169083;199438075;199371707;200568315;199790331;199416189;201659837;200408509;199438077;200993725;200140794;199726714;201440122;201417914;200013882;200735674;199467450;199858618;199425466;201118070;200175222;200175606;201659832;200161272;200428408;201350072;199693816;201512440;199915320;199438072;200439289;200625145;200310137;200271289;199656185;201312764;200308988;200094460;200562940;199436604;201015420;200145596;199421628;201416881;201388657;201390641;200516593;199416177;201655217;199600945;200855025;200818673;201686257;200102321;199830001;199442289;199699059;200408691;201594163;201369077;199438069;200711285;199509749;201686261;201565173;199442997;200623093;200102325;201440119;200562935;201292791;200955703;199879991;199482615;201655214;199728494;199447726;201081646;200444526;200094128;200102320;200457200,9.949850970453252
248269653,9.947964972171537,1.0,201486715;201389427;201430318;201403074;200292618;200859859;166517569;166326926;257326909;257302550;256961941;255468296;288356342;288551520;288260738;291098123;290133270;288393815;291563917;288551519;291570183;288528792;265347708;266088827;263327291;262835885;265630164;262957379;265870082;263114509;266145924;276013748;277356630;277964712;275554051;278370465;277815374;276422740;277783951;278652202;169686971;169545973;169560626;169106391;169685958;169050705;169101313;169104521;169683948;169943747;190296020;190124560;281795005;281583996;280719028;282529061;280718231;281799616;205084475;205127481;204746216;204782278;250685118;248627518;248632571;250676259;248628627;248022610;250555913;249932172;248269653;210237631;210493232;210645723;210012865;196205630;197589369;197161513;197557173;196847560;196982998;196998423;229439357;230322293;229366644;229701225;230100460;230038476;230521494;230647944;230329572;227944451;229899924;185620927;185432371;186059627;186515474;222118327;222115149;222332054,9.947964972171537
269400844,9.941468875057527,1.0,200805318;165913851;167947414;254597049;257549197;262968063;266050925;264955014;266675197;265978781;277862668;279531769;171339431;171561841;188958862;281691908;282113306;281641428;204344208;203677001;202926851;250643232;247943428;248982775;250469704;248982759;210020344;196659428;195780531;228016933;229602163;228916436;184724382;221613807;221023701;219836718;173909675;173468144;206923196;207394541;206718996;237493082;235898128;216922771;217710607;193214765;192417939;274319615;274732659;272992754;273492431;244404337;244588215;245226017;245650238;244776095;259015976;260240264;259733914;284569258;212924843;212641316;213568243;212641315;252525456;233107452;232034620;233674595;232072960;232786381;162491493;270788621;269400844;269494448;269494465;270604968;267023797;162631927;165508421;165621401;181235178;181451312;181715276;182850710;182338841;177819200;178701707;177263767;225573813;223786407;225955054;223952195;225146352;225648897;295411587;240016818;241505131;240514000,9.941468875057527
212641316,9.938495434689774,1.0,167947414;266050925;279531769;171561841;188958862;281641428;203677001;247943428;195780531;228916436;221023701;173909675;206923196;216922771;192417939;272992754;244588215;260240264;284569258;212641316;212641315;233107452;162491493;270604968;165621401;181715276;177819200;225146352;295411587;240514000,9.938495434689774
284649375,9.9327194318742,1.0,200139902;200818238;200341759;200518591;199942335;201727935;201397435;201363517;200930938;199481082;199403642;199707002;201398518;201500726;201644342;200283320;201117624;201330424;201399800;200710520;200929145;199550201;200920956;199560252;199984636;200308977;200189105;199436593;200341745;198238769;201655601;201500721;200239475;200595891;201350067;201746867;201655603;201538995;199443187;198234803;199395381;200239477;199511925;199475445;201636663;201453303;200269998;200498990;200979246;200185262;200941998;199555502;201092206;200788400;201092208;200650608;200201840;200849583;200227186;199576754;200788402;200223794;200930343;199885799;199662567;200824743;201774375;200692519;200407655;201311845;201290469;200370420;201397864;200339304;199555496;201685864;201538792;200986280;199491432;201525672;200941992;200175080;200167396;200799844;201518628;201725987;201336163;201538988;200562860;199511980;200740514;199440802;201487458;199649826;199442274;199940570;200309210;199600922;199554450;200716754,9.9327194318742
