ShipmentMonth,ConsigneeStateRegion,ConsigneeCountry,ShipmentOrigin,Province,CountryOfSale,TransportMethod,IsContainerized,ValueOfGoodsUSD,HSCode,TradeType
2015-01-01,Shanghai,China,Latvia,Shanghai Municipality,United Kingdom,River-Sea Transportation,Yes,339.0,940350,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Guangdong,China,Philippines,Guangdong Province,Philippines,River-Sea Transportation,Yes,306.0,940350,Ordinary Trade
2015-01-01,Beijing,China,India,Beijing Municipality,India,River-Sea Transportation,Yes,3929.0,940350,Ordinary Trade
2015-01-01,Fujian Sheng,China,Australia,Fujian Province,Australia,River-Sea Transportation,No,15708.0,440122,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Bangladesh,Guangdong Province,Bangladesh,River-Sea Transportation,Yes,70772.0,440290,Ordinary Trade
2015-01-01,Guangdong,China,Malaysia,Guangdong Province,Malaysia,River-Sea Transportation,Yes,33234.0,440725,Processing Trade with Imported Materials
2015-01-01,Hainan,China,Romania,Hainan Province,HongKong,River-Sea Transportation,Yes,246951.0,440792,Ordinary Trade
2015-01-01,Guangdong,China,Germany,Guangdong Province,Belgium,River-Sea Transportation,Yes,131089.0,440792,Ordinary Trade
2015-01-01,Zhejiang,China,Bosnia and Herzegovina,Zhejiang Province,Croatia Rep,River-Sea Transportation,Yes,32034.0,440792,Ordinary Trade
2015-01-01,Jiangsu,China,Germany,Jiangsu Province,Germany,River-Sea Transportation,Yes,83783.0,440792,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Canada,Jiangsu Province,United States,River-Sea Transportation,Yes,47216.0,440793,Ordinary Trade
2015-01-01,Guangdong,China,United States,Guangdong Province,United States,River-Sea Transportation,Yes,265666.0,440795,Processing Trade with Imported Materials
2015-01-01,Shandong,China,Canada,Shandong Province,Canada,River-Sea Transportation,Yes,47078.0,440795,Ordinary Trade
2015-01-01,,China,United States,Shanghai Municipality,United States,River-Sea Transportation,Yes,47323.0,440795,Ordinary Trade
2015-01-01,Beijing,China,United States,Beijing Municipality,United States,River-Sea Transportation,Yes,21033.0,440795,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Thailand,Jiangsu Province,Thailand,River-Sea Transportation,Yes,92391.0,441012,Ordinary Trade
2015-01-01,Guangdong Sheng,China,United States,Guangdong Province,United States,River-Sea Transportation,Yes,496118.0,440791,Ordinary Trade
2015-01-01,Shandong Sheng,China,United States,Shandong Province,Canada,River-Sea Transportation,Yes,96783.0,440791,Ordinary Trade
2015-01-01,Zhejiang,China,United States,Zhejiang Province,United States,River-Sea Transportation,Yes,821093.0,440791,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,United States,Jiangsu Province,United States,River-Sea Transportation,Yes,981207.0,440791,Ordinary Trade
2015-01-01,Shanghai Shi,China,Canada,Shanghai Municipality,Canada,River-Sea Transportation,Yes,57120.0,440791,Ordinary Trade
2015-01-01,,China,Latvia,Liaoning Province,Italy,River-Sea Transportation,Yes,20912.0,440791,Processing Trade with Imported Materials
2015-01-01,Beijing Shi,China,United States,Beijing Municipality,United States,River-Sea Transportation,Yes,23170.0,440791,Ordinary Trade
2015-01-01,Shandong Sheng,China,United States,Shandong Province,United States,River-Sea Transportation,Yes,7899.0,440391,Ordinary Trade
2015-01-01,Zhejiang,China,France,Zhejiang Province,Spain,River-Sea Transportation,Yes,41467.0,440391,Ordinary Trade
2015-01-01,Shanghai Shi,China,Ukraine,Shanghai Municipality,Ukraine,River-Sea Transportation,Yes,121820.0,440391,Ordinary Trade
2015-01-01,Liaoning,China,France,Liaoning Province,France,River-Sea Transportation,Yes,65015.0,440391,Processing and Assembling Trade with Customer-Supplied Materials
2015-01-01,Guangdong Sheng,China,Slovakia (Slovak Republic),Guangdong Province,Germany,River-Sea Transportation,Yes,41583.0,440392,Ordinary Trade
2015-01-01,Zhejiang,China,Slovakia (Slovak Republic),Zhejiang Province,Slovenia,River-Sea Transportation,Yes,17180.0,440392,Ordinary Trade
2015-01-01,Guangdong,China,Lao PDR,Guangdong Province,Lao PDR,Motor Vehicle Transportation,Yes,335556.0,440799,Ordinary Trade
2015-01-01,Guangdong,China,Taiwan,Guangdong Province,Taiwan,River-Sea Transportation,Yes,8952.0,440799,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Croatia Rep,Guangdong Province,Croatia Rep,River-Sea Transportation,Yes,13392.0,440799,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Malaysia,Guangdong Province,Malaysia,River-Sea Transportation,Yes,25289.0,440799,Ordinary Trade
2015-01-01,Shandong,China,United States,Shandong Province,United States,River-Sea Transportation,Yes,13349.0,440799,Ordinary Trade
2015-01-01,Guangdong,China,Lao PDR,Guangdong Province,HongKong,River-Sea Transportation,Yes,205629.0,440799,Ordinary Trade
2015-01-01,Shandong,China,United States,Shandong Province,United States,River-Sea Transportation,Yes,23204.0,440799,Ordinary Trade
2015-01-01,Liaoning,China,United States,Liaoning Province,United States,River-Sea Transportation,Yes,40202.0,440799,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Shanghai Shi,China,Malaysia,Shanghai Municipality,Malaysia,River-Sea Transportation,Yes,72948.0,440799,Ordinary Trade
2015-01-01,Heilongjiang Sheng,China,United States,Heilongjiang Province,United States,River-Sea Transportation,Yes,15280.0,440799,Ordinary Trade
2015-01-01,Nei Mongol,China,Russia,Inner Mongolia Autonomous Region,Russia,Railway Transportation,Yes,97629.0,440799,Petty Frontier Trade
2015-01-01,Shanghai Shi,China,Indonesia,Shanghai Municipality,Indonesia,River-Sea Transportation,Yes,31026.0,440799,Ordinary Trade
2015-01-01,Shanghai,China,United States,Shanghai Municipality,United States,River-Sea Transportation,Yes,14676.0,440799,Processing Trade with Imported Materials
2015-01-01,Shanghai,China,Croatia Rep,Shanghai Municipality,Croatia Rep,River-Sea Transportation,Yes,78318.0,440799,Ordinary Trade
2015-01-01,Tianjin,China,Thailand,Tianjin Municipality,Thailand,River-Sea Transportation,Yes,29999.0,440799,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Indonesia,Guangdong Province,Indonesia,River-Sea Transportation,Yes,1634.0,442190,Ordinary Trade
2015-01-01,Jiangsu,China,Malaysia,Jiangsu Province,Malaysia,River-Sea Transportation,Yes,27.0,442190,Ordinary Trade
2015-01-01,Shanghai,China,Italy,Shanghai Municipality,France,Air Transport,Yes,12378.0,442190,Ordinary Trade
2015-01-01,Shanghai,China,Japan,Shanghai Municipality,Japan,Air Transport,Yes,440.0,442190,Ordinary Trade
2015-01-01,Shanghai Shi,China,Belgium,Shanghai Municipality,Netherlands,River-Sea Transportation,Yes,1340.0,442190,Ordinary Trade
2015-01-01,Shanghai,China,China,Shanghai Municipality,United States,Air Transport,Yes,95.0,442190,Ordinary Trade
2015-01-01,Shanghai Shi,China,Vietnam,Shanghai Municipality,Vietnam,River-Sea Transportation,Yes,7619.0,442190,Ordinary Trade
2015-01-01,Chongqing Shi,China,Germany,Chongqing  Municipality,Germany,River-Sea Transportation,Yes,97660.0,440710,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Brazil,Guangdong Province,Brazil,River-Sea Transportation,Yes,128183.0,440710,Ordinary Trade
2015-01-01,Guangdong,China,United States,Guangdong Province,United States,River-Sea Transportation,Yes,67118.0,440710,Processing Trade with Imported Materials
2015-01-01,Zhejiang,China,New Zealand,Zhejiang Province,New Zealand,River-Sea Transportation,Yes,12640.0,440710,Ordinary Trade
2015-01-01,Zhejiang Sheng,China,Estonia,Zhejiang Province,Estonia,River-Sea Transportation,Yes,42173.0,440710,Ordinary Trade
2015-01-01,Shandong,China,Canada,Shandong Province,Canada,River-Sea Transportation,Yes,980907.0,440710,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Shandong Sheng,China,United States,Shandong Province,United States,River-Sea Transportation,Yes,9360.0,440710,Ordinary Trade
2015-01-01,Fujian,China,Chile,Fujian Province,Chile,River-Sea Transportation,Yes,3636234.0,440710,Ordinary Trade
2015-01-01,Fujian Sheng,China,Canada,Fujian Province,Canada,River-Sea Transportation,Yes,4335417.0,440710,Ordinary Trade
2015-01-01,Jiangsu,China,Canada,Jiangsu Province,Canada,River-Sea Transportation,Yes,248156.0,440710,Ordinary Trade
2015-01-01,Shanghai,China,Chile,Shanghai Municipality,Chile,River-Sea Transportation,Yes,51551.0,440710,Ordinary Trade
2015-01-01,Liaoning,China,Finland,Liaoning Province,Finland,River-Sea Transportation,Yes,43257.0,440710,Processing and Assembling Trade with Customer-Supplied Materials
2015-01-01,Liaoning,China,Latvia,Liaoning Province,Latvia,River-Sea Transportation,Yes,81961.0,440710,Processing Trade with Imported Materials
2015-01-01,Zhejiang,China,Canada,Zhejiang Province,Canada,River-Sea Transportation,Yes,214430.0,440710,Ordinary Trade
2015-01-01,Zhejiang Sheng,China,Canada,Zhejiang Province,Canada,River-Sea Transportation,Yes,5037231.0,440710,Ordinary Trade
2015-01-01,Nei Mongol,China,Russia,Inner Mongolia Autonomous Region,Russia,Railway Transportation,Yes,17298.0,440710,Petty Frontier Trade
2015-01-01,Shanghai Shi,China,Sweden,Shanghai Municipality,Sweden,River-Sea Transportation,Yes,32088.0,440710,Ordinary Trade
2015-01-01,Tianjin,China,United States,Tianjin Municipality,United States,River-Sea Transportation,Yes,36096.0,440890,Ordinary Trade
2015-01-01,Yunnan,China,Myanmar,Yunnan Province,Myanmar,Motor Vehicle Transportation,No,653537.0,440399,Petty Frontier Trade
2015-01-01,Yunnan,China,Vietnam,Yunnan Province,Vietnam,Motor Vehicle Transportation,No,20527.0,440399,Petty Frontier Trade
2015-01-01,Guangdong,China,Taiwan,Guangdong Province,Taiwan,River-Sea Transportation,No,904.0,440399,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Vietnam,Guangdong Province,Vietnam,River-Sea Transportation,No,880645.0,440399,Ordinary Trade
2015-01-01,Zhejiang,China,United States,Zhejiang Province,United States,River-Sea Transportation,No,110529.0,440399,Ordinary Trade
2015-01-01,Zhejiang Sheng,China,Benin,Zhejiang Province,Benin,River-Sea Transportation,No,144253.0,440399,Ordinary Trade
2015-01-01,Fujian,China,France,Fujian Province,France,River-Sea Transportation,No,9755.0,440399,Ordinary Trade
2015-01-01,Fujian,China,Latvia,Fujian Province,Latvia,River-Sea Transportation,No,45687.0,440399,Ordinary Trade
2015-01-01,Anhui,China,United States,Anhui Province,United States,River-Sea Transportation,No,91658.0,440399,Ordinary Trade
2015-01-01,广东省,China,Gambia,Guangdong Province,Gambia,River-Sea Transportation,No,181368.0,440399,Ordinary Trade
2015-01-01,Guangdong,China,Gambia,Guangdong Province,Gambia,River-Sea Transportation,No,166464.0,440399,Ordinary Trade
2015-01-01,Jiangsu,China,Cameroon,Jiangsu Province,Cameroon,River-Sea Transportation,No,29829.0,440399,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Equatorial Guinea,Jiangsu Province,Equatorial Guinea,River-Sea Transportation,No,1662447.0,440399,Ordinary Trade
2015-01-01,Jiangsu,China,Lithuania,Jiangsu Province,Lithuania,River-Sea Transportation,No,11711.0,440399,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Liberia,Jiangsu Province,Liberia,River-Sea Transportation,No,418880.0,440399,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Mexico,Guangdong Province,Mexico,River-Sea Transportation,No,33162.0,440399,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Cote D Ivoire,Guangdong Province,Cote D Ivoire,River-Sea Transportation,No,1127492.0,440399,Ordinary Trade
2015-01-01,Zhejiang Sheng,China,Malaysia,Zhejiang Province,Malaysia,River-Sea Transportation,No,8353.0,440399,Ordinary Trade
2015-01-01,Zhejiang,China,Solomon Islands,Zhejiang Province,Solomon Islands,River-Sea Transportation,No,4728869.0,440399,Ordinary Trade
2015-01-01,Shanghai,China,Liberia,Shanghai Municipality,Liberia,River-Sea Transportation,No,60031.0,440399,Ordinary Trade
2015-01-01,Liaoning,China,United States,Liaoning Province,United States,River-Sea Transportation,No,17336.0,440399,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Heilongjiang Sheng,China,United States,Heilongjiang Province,United States,River-Sea Transportation,No,382104.0,440399,Ordinary Trade
2015-01-01,Guangdong,China,Gambia,Guangdong Province,Gambia,River-Sea Transportation,No,42912.0,440399,Ordinary Trade
2015-01-01,Zhejiang Sheng,China,Taiwan,Zhejiang Province,Taiwan,River-Sea Transportation,No,6180.0,440399,Ordinary Trade
2015-01-01,Heilongjiang Sheng,China,Russia,Heilongjiang Province,Russia,Railway Transportation,No,69617.0,440399,Petty Frontier Trade
2015-01-01,Nei Mongol,China,Russia,Inner Mongolia Autonomous Region,Russia,Railway Transportation,No,105986.0,440399,Petty Frontier Trade
2015-01-01,Nei Mongol,China,Russia,Inner Mongolia Autonomous Region,Russia,Motor Vehicle Transportation,No,50645.0,440399,Processing and Assembling Trade with Customer-Supplied Materials
2015-01-01,Inner Mongolia,China,Russia,Inner Mongolia Autonomous Region,Russia,Railway Transportation,No,36454.0,440399,Petty Frontier Trade
2015-01-01,Nei Mongol,China,Russia,Inner Mongolia Autonomous Region,Russia,Railway Transportation,No,22161.0,440399,Petty Frontier Trade
2015-01-01,Guangdong,China,Belgium,Guangdong Province,Belgium,Air Transport,Yes,125.0,441114,Ordinary Trade
2015-01-01,Beijing Shi,China,Italy,Beijing Municipality,Italy,River-Sea Transportation,Yes,270.0,441114,Ordinary Trade
2015-01-01,Guangdong,China,Cameroon,Guangdong Province,Cameroon,River-Sea Transportation,Yes,52746.0,440729,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Cameroon,Guangdong Province,Cameroon,River-Sea Transportation,Yes,109814.0,440729,Ordinary Trade
2015-01-01,Liaoning,China,Cameroon,Liaoning Province,Cameroon,River-Sea Transportation,Yes,72080.0,440729,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Finland,Guangdong Province,Finland,River-Sea Transportation,Yes,24765.0,441299,Ordinary Trade
2015-01-01,Guangdong,China,Indonesia,Guangdong Province,HongKong,River-Sea Transportation,Yes,315.0,441400,Ordinary Trade
2015-01-01,Shanghai,China,Denmark,Shanghai Municipality,Germany,River-Sea Transportation,Yes,121.0,441400,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Beijing,China,China,Beijing Municipality,HongKong,Air Transport,Yes,1033.0,442090,duty free goods
2015-01-01,Xizang Zizhiqu,China,"Nepal,FDR",Tibet Autonomous Region,"Nepal,FDR",Motor Vehicle Transportation,Yes,3383.0,442010,Petty Frontier Trade
2015-01-01,Shanghai,China,Italy,Shanghai Municipality,Italy,River-Sea Transportation,Yes,621.0,442010,Ordinary Trade
2015-01-01,Beijing,China,Belgium,Beijing Municipality,Belgium,River-Sea Transportation,Yes,1170.0,442010,Ordinary Trade
2015-01-01,Fujian Sheng,China,Byelorussia,Fujian Province,Lithuania,River-Sea Transportation,No,130996.0,440320,Ordinary Trade
2015-01-01,Jiangsu,China,Romania,Jiangsu Province,Romania,River-Sea Transportation,No,215201.0,440320,Ordinary Trade
2015-01-01,Shanghai Shi,China,New Zealand,Shanghai Municipality,New Zealand,River-Sea Transportation,No,1207107.0,440320,Ordinary Trade
2015-01-01,Liaoning,China,Uruguay,Liaoning Province,Uruguay,River-Sea Transportation,No,55442.0,440320,Ordinary Trade
2015-01-01,Heilongjiang Sheng,China,Russia,Heilongjiang Province,Russia,Railway Transportation,No,133077.0,440320,Petty Frontier Trade
2015-01-01,,China,Canada,Jilin Province,Canada,River-Sea Transportation,No,28730.0,440320,Ordinary Trade
2015-01-01,Nei Mongol,China,Russia,Inner Mongolia Autonomous Region,Russia,Railway Transportation,No,16921.0,440320,Petty Frontier Trade
2015-01-01,Beijing,China,Paraguay,Beijing Municipality,Brazil,River-Sea Transportation,Yes,111254.0,440929,Ordinary Trade
2015-01-01,Shanghai Shi,China,Japan,Shanghai Municipality,Japan,River-Sea Transportation,Yes,6091.0,441900,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Tianjin,China,Vietnam,Tianjin Municipality,Vietnam,River-Sea Transportation,Yes,1825.0,441900,Ordinary Trade
2015-01-01,Guangdong Sheng,China,United States,Guangdong Province,United States,Motor Vehicle Transportation,Yes,4107.0,441232,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Indonesia,Guangdong Province,Indonesia,River-Sea Transportation,Yes,116388.0,441232,Ordinary Trade
2015-01-01,Shanghai Shi,China,Italy,Shanghai Municipality,Italy,River-Sea Transportation,Yes,36829.0,441232,Ordinary Trade
2015-01-01,Guangdong,China,Malaysia,Guangdong Province,Malaysia,River-Sea Transportation,Yes,8019.0,441113,Processing Trade with Imported Materials
2015-01-01,Beijing Shi,China,Italy,Beijing Municipality,Italy,Air Transport,Yes,23872.0,441872,Ordinary Trade
2015-01-01,Shanghai Shi,China,Malaysia,Shanghai Municipality,Malaysia,River-Sea Transportation,Yes,16775.0,441890,Ordinary Trade
2015-01-01,Guangdong,China,Philippines,Guangdong Province,Philippines,River-Sea Transportation,Yes,1063.0,940161,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Italy,Guangdong Province,Italy,River-Sea Transportation,Yes,301229.0,940161,Ordinary Trade
