PanjivaRecordID,combined_score,hdf_score,normal_id_list,score
138290227,10.965659334499357,1.0,134259676;133701127;112385143;112385141;112385140;111976521;111976522;111976526;112054234;142640498;142640497;117311334;107261757;151658315;151658302;151658314;151657433;152331625;152585075;152585071;152585072;152585073;152961725;138290227;134806519;134830475;143398263;145544889;145544890;107753073,10.965659334499357
131043720,10.918097399246982,1.0,148246263;148304297;147280369;147588257;147280368;147588256;113454953;113231262;112224051;111957851;130853673;131043720;149127433;132756660;131938759;142020412;142615709;141857179;129366453;129984018;117080739;116269061;107467290;120153777;121367166;121902715;120970802;121640128;128446538;128794560;128524512;129176077;128181042;128794563;151921593;151769406;152159594;152159595;152469278;140185364;139318937;136888743;136888742;137037764;109645398;110150907;126385976;126385974;125886058;124471449;125029412;124471447;124471448;134441136;146963681;124036712;124107344;123514970;123594948;124169390;123358002;122109056;114257822;113944324;127020958;126745885;127020957;140796445;141135491;141668621;115972158;115672713;143492730;144179697;144456896;108388240;108476320;108388239,10.918097399246982
106582663,10.898890709755623,1.0,133493324;148360263;111423209;111423208;131185617;131715172;132040078;107258941;106804674;106582663;120791052;120275022;120791049;110612636;134915587;146503129;114706646;127892492;115895275;115140074;117768167;117587141,10.898890709755623
150965066,10.876267683807388,1.0,133187178;133718881;133718880;119161106;112358692;113080222;113234462;111467808;112131484;111535744;130745659;131421193;131421192;131421191;148674881;131962012;130311896;130311895;130596940;130311897;117370744;107469247;107145407;106725880;106665650;107145408;107469317;120488124;120488123;120722990;120502635;121371455;121102317;121102318;121812914;121102314;121102316;109071164;109905927;110491570;110296259;126248584;125594537;127023579;125594536;126248583;124400473;124400471;124400472;134918705;135514393;135514392;146619209;146619207;146619208;123518186;123518189;123414673;124108617;123649795;122446690;126748076;126748077;126748078;115974708;115839552;115382146;150289955;150965066;108389360;108580513;108580518;108580515;107652106;117657473,10.876267683807388
136846028,10.83583404887816,1.0,148924872;133105542;136007480;136173601;136846028;136846016;135732302;139160121;137006011;137335271;137335270;137006018;140672324,10.83583404887816
137335271,10.83583404887816,1.0,148924872;133105542;136007480;136173601;136846028;136846016;135732302;139160121;137006011;137335271;137335270;137006018;140672324,10.83583404887816
136846016,10.83583404887816,1.0,148924872;133105542;136007480;136173601;136846028;136846016;135732302;139160121;137006011;137335271;137335270;137006018;140672324,10.83583404887816
127134102,10.834709207053127,1.0,133661626;133997370;133405375;133157821;133661629;133157820;133661628;134211324;133661627;133447670;134225526;133421230;133132531;133528056;133960696;133132532;133371948;133528055;133960695;134321335;133132528;133505584;134249264;133132529;133505585;133661617;134249265;133371944;134261544;133421229;133997357;133447658;134030753;134060321;133447655;133406375;133412263;134030695;133404306;133788754;134052370;133741604;134030692;134060322;134030754;133699678;133799454;133365659;133793947;133752411;134052379;134060315;133793951;134034271;133405384;134024840;134399446;133788688;134052373;133347459;133205830;133405382;133788697;134136593;133403155;133788691;134374163;133793932;133976396;133727553;134225537;133403156;134374164;133295118;133424974;133295113;134030755;134399447;133424973;134136589;133205834;133148810;133976394;134024842;133205831;134024839;133276518;133799462;133205824;133295104;133424960;133405378;134225538;133788698;133716954;134399450;133447659;133661615;134249263;133976388,10.834709207053127
140672324,10.830789215255546,1.0,148924872;133105542;136007480;136173601;136846028;136846016;135732302;139160121;137006011;137335271;137335270;137006018;140672324,10.830789215255546
123516342,10.810867838706892,1.0,133989424;133365664;133649564;133365666;133365662;133649566;134066014;133649563;133716955;133339743;133649567;133997334;133365657;134203457;134228430;118834469;118730116;147958451;147588740;148246848;147330701;112518642;112811323;111958279;112224153;112224089;111380042;111958276;111671301;131573369;130731943;130755811;131017760;131141711;131498901;130731944;131017846;131599180;130704389;130635778;131437313;149219124;148814429;148492228;132209274;132209275;132447536;132103076;132484827;132042602;132484828;132025234;132960520;132910315;132012045;133103630;132209281;142271161;141820731;141721148;141820732;142266294;142106798;141925741;142106797;142106799;142397234;141820714;142724771;142477214;142759659;142397223;142477223;142397256;142724772;142477212;142637410;141752176;142106800;142397225;141820740;142397233;142511758;142106784;142046914;142397249;142106785;142724769;130281138;129713470;129438577;129353589;130440600;130579959;129713473;129901206;116269375;116269363;117367084;116855013,10.810867838706892
117334995,10.78059026957392,1.0,113097770;113325857;112535659;112349441;130677899;129272381;129430689;130124618;129272328;129430688;130195801;130215321;130433346;116847717;116884635;107389692;120170266;120170262;119841248;121801484;121226639;121124439;151639933;139169417;139355490;138398861;109783594;109695498;110850738;110314520;110850705;110850757;110314496;126501824;126201061;124899490;123551411;123535362;122849276;123143387;114060002;114355165;116212333;116016481;115321062;117702718;118347632;117334995;117978434,10.78059026957392
120071254,10.750281828063581,1.0,134030708;134030713;133311788;133408981;133408980;148012268;113576996;112136774;112123084;112136772;131815736;131815735;131221677;131307606;130717889;131895362;130516860;130399241;130060134;130060132;130399240;130060131;116380192;116535241;107848175;120071254;151454728;109650755;146999246;115194471;143380465;143380464,10.750281828063581
